rho,avg_periods
-9.499999999999999556e-01,9.441000000000000725e+00
-9.404522613065325887e-01,1.006799999999999962e+01
-9.309045226130653328e-01,1.079499999999999993e+01
-9.213567839195979658e-01,1.199399999999999977e+01
-9.118090452261305989e-01,1.357499999999999929e+01
-9.022613065326632320e-01,1.473900000000000077e+01
-8.927135678391959761e-01,1.603900000000000148e+01
-8.831658291457286092e-01,1.730699999999999861e+01
-8.736180904522612423e-01,1.851099999999999923e+01
-8.640703517587939864e-01,1.966499999999999915e+01
-8.545226130653266194e-01,2.154599999999999937e+01
-8.449748743718592525e-01,2.351099999999999923e+01
-8.354271356783918856e-01,2.622899999999999920e+01
-8.258793969849246297e-01,2.831500000000000128e+01
-8.163316582914572628e-01,2.992399999999999949e+01
-8.067839195979898959e-01,3.198900000000000077e+01
-7.972361809045225289e-01,3.390999999999999659e+01
-7.876884422110552730e-01,3.602600000000000335e+01
-7.781407035175879061e-01,3.932099999999999795e+01
-7.685929648241205392e-01,4.239099999999999824e+01
-7.590452261306532833e-01,4.583400000000000318e+01
-7.494974874371859164e-01,4.955199999999999960e+01
-7.399497487437185494e-01,5.331900000000000261e+01
-7.304020100502512935e-01,5.702300000000000324e+01
-7.208542713567839266e-01,6.071300000000000097e+01
-7.113065326633165597e-01,6.461400000000000432e+01
-7.017587939698491928e-01,6.881799999999999784e+01
-6.922110552763818259e-01,7.342300000000000182e+01
-6.826633165829145700e-01,7.895699999999999363e+01
-6.731155778894472030e-01,8.413200000000000500e+01
-6.635678391959798361e-01,8.949299999999999500e+01
-6.540201005025125802e-01,9.646399999999999864e+01
-6.444723618090452133e-01,1.037210000000000036e+02
-6.349246231155778464e-01,1.106430000000000007e+02
-6.253768844221105905e-01,1.179080000000000013e+02
-6.158291457286432236e-01,1.212620000000000005e+02
-6.062814070351758566e-01,1.285800000000000125e+02
-5.967336683417086007e-01,1.340240000000000009e+02
-5.871859296482411228e-01,1.408619999999999948e+02
-5.776381909547738669e-01,1.474660000000000082e+02
-5.680904522613065000e-01,1.530409999999999968e+02
